,Life Status,Airbag Available,Seatbelt in Use,Gender,Age of Occ,Accident Year,Vehicle Year,Airbag Deploy,Occ Role
1,alive,none,belted,f,26,1997,1990,unavail,driver
2,alive,airbag,belted,f,72,1997,1995,deploy,driver
3,alive,none,none,f,69,1997,1988,unavail,driver
4,alive,airbag,belted,f,53,1997,1995,deploy,driver
5,alive,none,belted,f,32,1997,1988,unavail,driver
6,alive,none,belted,f,22,1997,1985,unavail,driver
7,alive,none,belted,m,22,1997,1984,unavail,driver
8,dead,none,none,m,32,1997,1987,unavail,driver
9,alive,none,belted,m,40,1997,1984,unavail,driver
10,alive,none,belted,f,18,1997,1987,unavail,driver
11,alive,none,belted,m,21,1997,1987,unavail,pass
12,alive,none,belted,f,69,1997,1982,unavail,driver
13,alive,airbag,belted,m,67,1997,1991,deploy,driver
14,dead,airbag,belted,f,54,1997,1994,nodeploy,driver
15,alive,none,belted,f,37,1997,1991,unavail,driver
16,alive,none,belted,m,71,1997,1990,unavail,driver
17,alive,none,belted,f,63,1997,1990,unavail,pass
18,alive,none,none,f,23,1997,1986,unavail,driver
19,alive,airbag,belted,m,33,1997,1995,nodeploy,driver
20,alive,airbag,belted,m,17,1997,1995,nodeploy,pass
21,alive,airbag,none,f,20,1997,1995,deploy,driver
22,alive,none,belted,f,22,1997,1987,unavail,driver
23,alive,none,none,m,45,1997,1989,unavail,driver
24,alive,none,none,m,36,1997,1989,unavail,pass
25,alive,airbag,belted,f,23,1997,1995,deploy,driver
26,alive,none,none,f,19,1997,1989,unavail,driver
27,alive,none,belted,m,26,1997,1986,unavail,driver
28,alive,none,belted,f,41,1997,1990,unavail,driver
29,alive,none,belted,f,18,1997,1987,unavail,driver
30,alive,none,none,m,30,1997,1987,unavail,pass
31,alive,airbag,belted,f,26,1997,1992,deploy,driver
32,alive,none,belted,m,16,1997,1988,unavail,driver
33,alive,none,belted,m,17,1997,1988,unavail,pass
34,alive,airbag,belted,m,20,1997,1990,nodeploy,driver
35,alive,airbag,belted,f,17,1997,1990,nodeploy,pass
36,alive,none,none,m,32,1997,1993,unavail,driver
37,alive,airbag,none,f,19,1997,1993,deploy,driver
38,alive,airbag,belted,f,52,1997,1995,nodeploy,driver
39,alive,none,belted,f,64,1997,1992,unavail,driver
40,alive,none,belted,f,19,1997,1984,unavail,driver
41,alive,none,belted,m,36,1997,1988,unavail,driver
42,alive,airbag,belted,m,23,1997,1993,nodeploy,driver
43,alive,none,none,m,76,1997,1984,unavail,driver
44,alive,airbag,belted,m,32,1997,1995,deploy,driver
45,alive,none,belted,m,21,1997,1987,unavail,driver
46,alive,none,belted,m,25,1997,1987,unavail,pass
47,alive,airbag,belted,f,37,1997,1992,nodeploy,driver
48,alive,airbag,none,f,16,1997,1992,nodeploy,pass
49,alive,none,belted,f,24,1997,1977,unavail,driver
50,alive,none,belted,m,39,1997,1987,unavail,driver
51,alive,none,belted,m,18,1997,1985,unavail,driver
52,alive,none,belted,f,64,1997,1991,unavail,driver
53,alive,none,belted,m,22,1997,1984,unavail,driver
54,alive,none,belted,m,27,1997,1968,unavail,driver
55,alive,none,belted,m,18,1997,1977,unavail,driver
