Life Status,Airbag Available,Seatbelt in Use,Gender,Age of Occ,Accident Year,Vehicle Year,Airbag Deploy,Occ Role
dead,airbag,belted,f,48,2002,1997,deploy,driver
alive,none,none,m,26,2001,1968,unavail,driver
alive,none,none,f,51,2002,1994,unavail,driver
alive,airbag,belted,m,27,1998,1996,deploy,pass
alive,airbag,belted,m,26,2002,1997,nodeploy,pass
alive,airbag,belted,m,47,1998,1997,nodeploy,driver
alive,airbag,belted,m,17,2002,1991,deploy,driver
alive,none,none,m,39,2001,1994,unavail,driver
alive,none,belted,f,74,2002,1987,unavail,driver
alive,none,belted,f,31,1999,1991,unavail,pass
alive,airbag,none,m,28,2002,2000,deploy,driver
alive,none,belted,f,16,1999,1991,unavail,pass
alive,airbag,none,f,23,1999,1998,nodeploy,pass
alive,airbag,belted,f,38,2001,1998,deploy,driver
alive,none,belted,f,35,1999,1988,unavail,driver
alive,none,belted,m,51,1999,1987,unavail,driver
alive,none,none,f,16,2001,1985,unavail,driver
alive,airbag,belted,f,19,1998,1992,deploy,driver
dead,none,belted,m,58,1997,1992,unavail,driver
alive,airbag,belted,f,24,2002,1992,nodeploy,driver
alive,airbag,none,m,79,1997,1995,deploy,driver
alive,airbag,belted,f,50,1999,1999,deploy,driver
alive,none,belted,m,66,2002,1987,unavail,driver
alive,none,belted,m,17,2000,1989,unavail,pass
alive,airbag,none,m,19,1999,1999,deploy,driver
alive,none,belted,m,51,2002,1972,unavail,pass
alive,none,none,f,24,1997,1988,unavail,pass
alive,airbag,belted,f,74,2000,1997,deploy,pass
alive,none,belted,f,27,1999,1989,unavail,driver
alive,airbag,none,m,54,2000,1999,nodeploy,driver
alive,airbag,belted,m,44,1998,1998,nodeploy,pass
alive,none,belted,f,19,2000,1987,unavail,driver
alive,airbag,belted,m,73,1999,1993,nodeploy,driver
alive,airbag,belted,m,28,1997,1996,nodeploy,driver
alive,airbag,belted,m,69,1998,1993,deploy,driver
alive,none,belted,f,26,1999,1993,unavail,driver
alive,airbag,belted,f,34,2002,1996,nodeploy,driver
alive,airbag,none,m,56,2000,1992,nodeploy,driver
