Unnamed: 0,Life Status,Airbag Available,Seatbelt in Use,Gender,Age of Occ,Accident Year,Vehicle Year,Airbag Deploy,Occ Role
1.0,alive,none,belted,f,26,1997,1990.0,unavail,driver
2.0,alive,airbag,belted,f,72,1997,1995.0,deploy,driver
3.0,alive,none,none,f,69,1997,1988.0,unavail,driver
4.0,alive,airbag,belted,f,53,1997,1995.0,deploy,driver
5.0,alive,none,belted,f,32,1997,1988.0,unavail,driver
6.0,alive,none,belted,f,22,1997,1985.0,unavail,driver
7.0,alive,none,belted,m,22,1997,1984.0,unavail,driver
8.0,dead,none,none,m,32,1997,1987.0,unavail,driver
9.0,alive,none,belted,m,40,1997,1984.0,unavail,driver
10.0,alive,none,belted,f,18,1997,1987.0,unavail,driver
11.0,alive,none,belted,m,21,1997,1987.0,unavail,pass
12.0,alive,none,belted,f,69,1997,1982.0,unavail,driver
13.0,alive,airbag,belted,m,67,1997,1991.0,deploy,driver
14.0,dead,airbag,belted,f,54,1997,1994.0,nodeploy,driver
15.0,alive,none,belted,f,37,1997,1991.0,unavail,driver
16.0,alive,none,belted,m,71,1997,1990.0,unavail,driver
17.0,alive,none,belted,f,63,1997,1990.0,unavail,pass
18.0,alive,none,none,f,23,1997,1986.0,unavail,driver
19.0,alive,airbag,belted,m,33,1997,1995.0,nodeploy,driver
20.0,alive,airbag,belted,m,17,1997,1995.0,nodeploy,pass
21.0,alive,airbag,none,f,20,1997,1995.0,deploy,driver
22.0,alive,none,belted,f,22,1997,1987.0,unavail,driver
23.0,alive,none,none,m,45,1997,1989.0,unavail,driver
24.0,alive,none,none,m,36,1997,1989.0,unavail,pass
25.0,alive,airbag,belted,f,23,1997,1995.0,deploy,driver
26.0,alive,none,none,f,19,1997,1989.0,unavail,driver
27.0,alive,none,belted,m,26,1997,1986.0,unavail,driver
28.0,alive,none,belted,f,41,1997,1990.0,unavail,driver
29.0,alive,none,belted,f,18,1997,1987.0,unavail,driver
30.0,alive,none,none,m,30,1997,1987.0,unavail,pass
31.0,alive,airbag,belted,f,26,1997,1992.0,deploy,driver
32.0,alive,none,belted,m,16,1997,1988.0,unavail,driver
33.0,alive,none,belted,m,17,1997,1988.0,unavail,pass
34.0,alive,airbag,belted,m,20,1997,1990.0,nodeploy,driver
35.0,alive,airbag,belted,f,17,1997,1990.0,nodeploy,pass
36.0,alive,none,none,m,32,1997,1993.0,unavail,driver
37.0,alive,airbag,none,f,19,1997,1993.0,deploy,driver
38.0,alive,airbag,belted,f,52,1997,1995.0,nodeploy,driver
39.0,alive,none,belted,f,64,1997,1992.0,unavail,driver
40.0,alive,none,belted,f,19,1997,1984.0,unavail,driver
41.0,alive,none,belted,m,36,1997,1988.0,unavail,driver
42.0,alive,airbag,belted,m,23,1997,1993.0,nodeploy,driver
43.0,alive,none,none,m,76,1997,1984.0,unavail,driver
44.0,alive,airbag,belted,m,32,1997,1995.0,deploy,driver
45.0,alive,none,belted,m,21,1997,1987.0,unavail,driver
46.0,alive,none,belted,m,25,1997,1987.0,unavail,pass
47.0,alive,airbag,belted,f,37,1997,1992.0,nodeploy,driver
48.0,alive,airbag,none,f,16,1997,1992.0,nodeploy,pass
49.0,alive,none,belted,f,24,1997,1977.0,unavail,driver
50.0,alive,none,belted,m,39,1997,1987.0,unavail,driver
51.0,alive,none,belted,m,18,1997,1985.0,unavail,driver
52.0,alive,none,belted,f,64,1997,1991.0,unavail,driver
53.0,alive,none,belted,m,22,1997,1984.0,unavail,driver
54.0,alive,none,belted,m,27,1997,1968.0,unavail,driver
55.0,alive,none,belted,m,18,1997,1977.0,unavail,driver
56.0,alive,none,belted,f,20,1997,1986.0,unavail,driver
57.0,alive,airbag,none,m,74,1997,1993.0,deploy,driver
58.0,alive,airbag,none,f,17,1997,1996.0,nodeploy,driver
59.0,alive,airbag,none,f,16,1997,1996.0,nodeploy,pass
60.0,alive,airbag,none,f,20,1997,1996.0,nodeploy,driver
61.0,alive,airbag,none,m,19,1997,1996.0,nodeploy,pass
62.0,alive,none,none,m,26,1997,1983.0,unavail,driver
63.0,alive,airbag,belted,m,32,1997,1995.0,nodeploy,driver
64.0,alive,none,none,f,78,1997,1986.0,unavail,driver
65.0,alive,none,belted,m,40,1997,1985.0,unavail,driver
66.0,alive,none,belted,f,36,1997,1985.0,unavail,pass
67.0,alive,none,none,m,76,1997,1989.0,unavail,driver
68.0,alive,none,none,f,55,1997,1983.0,unavail,driver
69.0,alive,none,belted,m,45,1997,1986.0,unavail,driver
70.0,alive,none,belted,f,20,1997,1992.0,unavail,driver
71.0,alive,none,belted,f,43,1997,1992.0,unavail,pass
72.0,alive,none,belted,m,21,1997,1994.0,unavail,driver
73.0,alive,none,belted,m,44,1997,1988.0,unavail,driver
74.0,alive,none,belted,f,62,1997,1988.0,unavail,pass
75.0,alive,airbag,belted,f,20,1997,1997.0,deploy,driver
76.0,alive,airbag,belted,f,17,1997,1997.0,deploy,pass
77.0,alive,none,none,m,24,1997,1983.0,unavail,driver
78.0,alive,none,none,m,62,1997,1983.0,unavail,pass
79.0,alive,none,none,f,37,1997,1981.0,unavail,driver
80.0,alive,none,belted,f,82,1997,1988.0,unavail,driver
81.0,alive,none,belted,f,44,1997,1988.0,unavail,pass
82.0,alive,airbag,belted,f,23,1997,1994.0,nodeploy,driver
83.0,dead,none,belted,m,67,1997,1992.0,unavail,driver
84.0,dead,none,belted,f,64,1997,1992.0,unavail,pass
85.0,alive,none,belted,m,65,1997,1991.0,unavail,driver
86.0,alive,none,belted,f,42,1997,1988.0,unavail,driver
87.0,alive,none,none,f,21,1997,1989.0,unavail,driver
88.0,alive,airbag,belted,f,46,1997,1996.0,deploy,driver
89.0,alive,airbag,belted,f,17,1997,1996.0,deploy,pass
90.0,alive,none,belted,f,81,1997,1991.0,unavail,driver
91.0,alive,airbag,belted,m,50,1997,1992.0,nodeploy,driver
92.0,alive,none,belted,m,33,1997,1991.0,unavail,driver
93.0,alive,airbag,belted,m,40,1997,1995.0,deploy,driver
